City,Average Rating
Abu Dhabi,302.25
Agra,103.1
Ahmedabad,584.0952381
Albany,83.8
Allahabad,69.6
Amritsar,174.5238095
Ankara,131.35
Armidale,25
Athens,637.5
Auckland,339.75
Augusta,395.45
Aurangabad,64.8
Balingup,21
Bandung,22
Bangalore,2805.75
Beechworth,237
Bhopal,143.85
Bhubaneshwar,202.047619
Birmingham,69.65
Bogor,971
Boise,519.05
Bras�_lia,10.85
Cape Town,270.75
Cedar Rapids/Iowa City,332.3
Chandigarh,574.6111111
Chatham-Kent,176
Chennai,1384.75
Clatskanie,96
Cochrane,6
Coimbatore,210.95
Colombo,146.45
Columbus,269.35
Consort,6
Dalton,128.05
Davenport,151.1
Dehradun,121.5
Des Moines,554.6
Dicky Beach,29
Doha,163.8
Dubai,934.65
Dubuque,101.05
East Ballina,56
Edinburgh,112.3
Faridabad,25.84063745
Fernley,83
Flaxton,37
Forrest,29
Gainesville,220.4
Ghaziabad,94.64
Goa,754.9
Gurgaon,118.2110912
Guwahati,236.3809524
Hepburn Springs,142.5
Huskisson,40
Hyderabad,1340.833333
Indore,238.85
Inner City,317.5
Inverloch,100
Jaipur,552.4
Jakarta,742.6875
Johannesburg,617.6666667
Kanpur,94.9
Kochi,359.95
Kolkata,2229.65
Lakes Entrance,97
Lakeview,41
Lincoln,799
London,436.2
Lorn,18
Lucknow,434.7619048
Ludhiana,143.05
Macedon,31
Macon,263.6
Makati City,452.5
Manchester,203.8
Mandaluyong City,300
Mangalore,218.35
Mayfield,11
Mc Millan,17
Middleton Beach,176
Miller,11
Mohali,99
Monroe,65
Montville,193
Mumbai,1484.85
Mysore,212.9
Nagpur,172.8
Nashik,104.75
New Delhi,114.8072355
Noida,68.04444444
Ojo Caliente,30
Orlando,1199.45
Palm Cove,381
Panchkula,843
Pasay City,606
Pasig City,696.6666667
Patna,76
Paynesville,16
Penola,19
Pensacola,844.5
Phillip Island,351
Pocatello,130.35
Potrero,9
Pretoria,156.3
Princeton,542
Puducherry,342.4
Pune,1036.6
Quezon City,294
Ranchi,90.35
Randburg,618
Rest of Hawaii,752.75
Rio de Janeiro,20.05
San Juan City,340.5
Sandton,491.8181818
Santa Rosa,50.5
Savannah,768.85
Secunderabad,951
Sharjah,243.65
Singapore,31.9
Sioux City,157.8
Surat,183.35
S��o Paulo,27.95
Tagaytay City,211
Taguig City,415.75
Tampa Bay,1370.35
Tangerang,1183.5
Tanunda,339
Trentham East,87
Vadodara,186
Valdosta,210
Varanasi,86.45
Vernonia,88
Victor Harbor,96
Vineland Station,204
Vizag,163.85
Waterloo,104.15
Weirton,156
Wellington City,146.3
Winchester Bay,16
Yorkton,26
��stanbul,860.2142857
