,Frequency,Average Rating
,9,3.866666667
Afghani,14,1.971428571
African,8,3.525
American,390,3.661538462
Andhra,10,3.87
Arabian,28,3.385714286
Argentine,2,4.3
Armenian,3,1.3
Asian,233,3.815021459
Asian Fusion,2,3.85
Assamese,4,2.4
Australian,5,3.78
Awadhi,11,1.572727273
BBQ,33,3.903030303
Bakery,745,2.440939597
Bar Food,39,3.933333333
Belgian,2,4.05
Bengali,29,3.006896552
Beverages,229,2.740174672
Bihari,6,3.65
Biryani,177,2.420338983
Brazilian,28,3.567857143
Breakfast,41,3.965853659
British,16,4.1125
Bubble Tea,1,4.4
Burger,251,3.520717131
Burmese,10,4.05
B�_rek,1,4.7
Cafe,703,3.321194879
Cajun,10,4.2
Canadian,1,3
Cantonese,2,3.85
Caribbean,7,4.271428571
Charcoal Grill,4,4.175
Chettinad,11,3.672727273
Chinese,2735,2.621023766
Coffee and Tea,19,3.794736842
Contemporary,9,4.288888889
Continental,736,3.51875
Cuban,2,4.15
Cuisine Varies,1,0
Curry,6,4.4
Deli,3,4.2
Desserts,653,2.978866769
Dim Sum,3,4.466666667
Diner,6,3.866666667
Drinks Only,2,1.75
Durban,1,4.3
D�_ner,1,4.4
European,148,3.910810811
Fast Food,1986,2.563091641
Filipino,10,4.34
Finger Food,114,3.276315789
Fish and Chips,1,4.3
French,29,3.862068966
Fusion,4,3.575
German,10,3.97
Goan,20,3.97
Gourmet Fast Food,1,4.3
Greek,15,3.693333333
Grill,21,4.057142857
Gujarati,11,3.354545455
Hawaiian,8,4.4125
Healthy Food,150,3.081333333
Hyderabadi,26,3.515384615
Ice Cream,226,2.583185841
Indian,70,3.918571429
Indonesian,14,4.285714286
International,21,4.247619048
Iranian,3,4.066666667
Irish,1,4.3
Italian,764,3.562041885
Izgara,2,4.35
Japanese,135,3.797037037
Juices,29,2.993103448
Kashmiri,20,2.935
Kebab,10,4.38
Kerala,23,3.47826087
Kiwi,6,4.3
Korean,21,3.652380952
Latin American,11,4.063636364
Lebanese,69,3.433333333
Lucknowi,13,2.384615385
Maharashtrian,10,3.57
Malay,1,3
Malaysian,22,3.763636364
Malwani,1,3.5
Mangalorean,4,3.725
Mediterranean,112,3.948214286
Mexican,181,3.72320442
Middle Eastern,22,3.763636364
Mineira,1,0
Mithai,380,2.073684211
Modern Australian,11,3.527272727
Modern Indian,16,4.28125
Moroccan,5,1.62
Mughlai,995,2.609949749
Naga,8,3.475
Nepalese,9,1.655555556
New American,2,4.1
North Eastern,9,2.088888889
North Indian,3960,2.510454545
Oriya,2,3.25
Pakistani,12,3.708333333
Parsi,8,4.1
Patisserie,4,4.025
Peranakan,1,4
Persian,2,2.3
Peruvian,1,3.6
Pizza,381,2.921784777
Portuguese,7,3.357142857
Pub Food,2,3.95
Rajasthani,21,3.180952381
Ramen,2,4.5
Raw Meats,114,2.152631579
Restaurant Cafe,4,4.025
Salad,93,3.165591398
Sandwich,53,4.066037736
Scottish,3,4.333333333
Seafood,174,3.862068966
Singaporean,4,3.175
Soul Food,1,3.6
South African,6,4.333333333
South American,2,3.5
South Indian,636,2.469811321
Southern,24,4.129166667
Southwestern,7,4.185714286
Spanish,16,4.08125
Sri Lankan,5,3.58
Steak,62,3.985483871
Street Food,562,2.356049822
Sunda,3,4.9
Sushi,75,3.973333333
Taiwanese,2,4.65
Tapas,19,4.131578947
Tea,48,2.81875
Teriyaki,2,4.3
Tex-Mex,19,3.884210526
Thai,234,3.65982906
Tibetan,44,2.302272727
Turkish,15,3.526666667
Turkish Pizza,8,4.325
Vegetarian,23,4.073913043
Vietnamese,21,3.923809524
Western,10,4.14
World Cuisine,4,4.3
