"Restaurant.Name","Std_Dev"
"6 Pack Momos",1.97989898732233
"Aapki Rasoi",1.76139149538085
"Adarsh Kulfi",2.12132034355964
"Aggarwal Bikaner Sweets",1.73205080756888
"Aggarwal Bikaneri Sweets",2.05060966544099
"Aggarwal Sweet & Bakers",2.05060966544099
"Aggarwal Sweet Corner",1.7343586710943
"Aggarwal Sweet India",1.552417469626
"Aggarwal Sweets",1.30175283351351
"Aggarwal Sweets & Restaurant",1.90918830920368
"Aggarwal Sweets Centre",2.05060966544099
"Aggarwal Sweets India",1.51437555888007
"Al Zaika",2.05060966544099
"All About Food",2.75771644662754
"Amar Bakery",2.33345237791561
"Amul Ice-Cream Parlour",1.73205080756888
"Apni Rasoi",1.43935486390342
"Aureo Dine & Bake House",2.47487373415292
"Baba Chicken Ludhiana Wale",2.1920310216783
"Balaji Dhaba",1.90918830920368
"Baskin Robbins",1.65537044879728
"Berco's",1.22270192606375
"Bikaner Kesarvala",2.26274169979695
"Bikaner Sweets",1.51136718544197
"Bikaner Sweets & Restaurant",1.26556970043798
"Biryani Vice",2.54558441227157
"Black Pepper",2.89913780286484
"BonJuz",2.1920310216783
"Brown Town",1.90918830920368
"Burger Joint",2.47487373415292
"Burger Point",1.09028770181419
"Burger Xpress",1.88038116703325
"Cafe Buddy's",2.05060966544099
"Cafe Coffee Day",1.2220991368638
"Caff�� La Poya",2.61629509039023
"Cake 24x7",2.33345237791561
"Cake Point",1.58996855314814
"Chai Garam",1.45
"Chai Mantra",2.26274169979695
"Chai Thela",2.1920310216783
"Chaska",1.58823801742686
"Chauhan Hotel",2.05060966544099
"Chawla's 2",1.14600756251141
"Chawla's Tandoori Junction",1.96553639837408
"Chawla's�_",1.09196197387132
"Chawlas 2",2.12132034355964
"Chennai Express",2.26274169979695
"Chicago Pizza",1.14980235455728
"China Town",1.39010105833387
"Chinese Corner",1.7343586710943
"Chinese Food",1.73493515728975
"Chinese Food Corner",1.44337567297406
"Chinese Hut",1.23384802645259
"Choco Kraft",2.26274169979695
"Chowringhee",1.61150993968833
"Cones & Curries",2.61629509039023
"Costa Coffee",1.63297436083911
"Crazy Noodles",2.54558441227157
"Da Pizza Corner",1.27788888405839
"Dana Pani",1.97989898732233
"Delhi Biryani Hut",1.90918830920368
"Delight Express",2.05060966544099
"Desi Tadka",2.12132034355964
"Dilli Light",1.83847763108502
"Dilli Rasoi",2.26274169979695
"Dolce Gelato",1.5137465347371
"Dosa Plaza",2.26274169979695
"Dunkin' Donuts",1.28268522455098
"EDC Mania",2.33345237791561
"Faaso's",2.54558441227157
"Finger Licious",1.90787840283389
"Flavors Of London",2.12132034355964
"Food Express",2.54558441227157
"Food Factory",2.12132034355964
"Food Plaza",1.8475208614068
"Foodhall",2.19620885467055
"Fresh Meat CO",2.05060966544099
"Giani",1.27036126121279
"Giani's",1.37343377937211
"GoGourmet",1.78232058470598
"Goli Vada Pav No. 1",1.36051460852135
"Green Chick Chop",1.09837669883743
"Green Chilli",1.97989898732233
"Green Restaurant",2.54558441227157
"Grover Sweets",2.1920310216783
"Gupta Ji Ka Dhaba",1.83847763108502
"Habibi Express",1.3
"Hasty Tasty",1.77857620959388
"Hot & Spicy",2.05060966544099
"Hot Joint Fast Food",1.83847763108502
"Hot Pot",1.40564338768172
"Hunger's Hub",2.1920310216783
"Invitation",2.54558441227157
"Jain Restaurant",2.12132034355964
"Joost Juice Bar",1.8475208614068
"Juice Lounge",2.40416305603426
"Just Vada Pav",2.07846096908265
"KC Bakers",2.26274169979695
"Kathi Junction",1.88745860881769
"Keventers",1.25082503966678
"Khan Chacha",1.71047194823952
"Khana Khazana",2.61629509039023
"Kings Kulfi",1.7625738755203
"Kitchen King",1.83847763108502
"Konetto Pizza",2.47487373415292
"Kulcha King",2.68700576850888
"Kwality Wall's Swirl's",1.5
"Lazeez Restaurant",2.12132034355964
"Let's Noodle",1.83847763108502
"Los Agaves",2.89913780286484
"Madras Cafe",1.54713812041342
"Madras Coffee House",2.12132034355964
"Madras Dosa & Chinese",1.90918830920368
"Magic Masala",2.12132034355964
"Mahi Rasoi",1.83847763108502
"Metro Dhaba",2.68700576850888
"Mitra Da Dhaba",1.85202591774521
"Mogambo Kitchen",2.1920310216783
"Mom's Kitchen",2.47487373415292
"Mother's Kitchen",2.05060966544099
"Mr. Baker's",2.12132034355964
"Mr. Momo",1.90918830920368
"Mr. Sub",1.36149427713328
"Muffins",1.13137084989848
"Muradabadi Shahi Biryani & Chicken Corner",1.73877351409933
"Mx Corn",1.55
"Nando's",1.76578594399208
"New Madras Cafe",1.70977581376429
"Night Food Delivery",1.90918830920368
"Nirula's Ice Cream",1.37749773139559
"Niti Shake & Ice Cream Hub",2.19393102292058
"Nukkadwala",1.59436507738974
"Ovenstory Pizza",1.55930387398626
"Pakwan",1.48183444869302
"Pandit Ji Ki Apni Rasoi",1.69705627484771
"Papa Buns",2.54558441227157
"Pastry Palace",2.26274169979695
"Pho King Awesome",2.89913780286484
"Pind Balluchi",1.0141628645289
"Pitstop",2.33345237791561
"Pizza Station",1.89296944860009
"Puja Sandwich House",1.90918830920368
"Punjabi Chaap Corner",1.47841614091374
"Punjabi Dhaba",1.92873015219859
"Punjabi Rasoi",1.37949266036467
"Punjabi Tadka",1.11483502943581
"Punjabi Zaika",1.57585955380971
"Punjabi's Veg Grill",1.53839743456191
"Raj Rasoi",2.33345237791561
"Rasoi",2.12132034355964
"Red Chilli",1.42828568570857
"Republic of Chicken",1.12278831253769
"Riyaz Chicken Corner",2.40416305603426
"Roll Corner",2.33345237791561
"Royale Bakers",1.97989898732233
"Sadda Adda",2.47487373415292
"Sagar Dhaba",2.1920310216783
"Sandoz",1.38744369255116
"Sanjha Chulha",1.21723730910068
"Sardar A Pure Meat Shop",1.64603901668352
"Senorita's",2.61629509039023
"Shalimar Vyanjan",2.12132034355964
"Shama Chicken Corner",1.62463671152798
"Shawarma Wala",1.88767935130237
"Snack Shack",1.90918830920368
"Snacks Point",2.05060966544099
"South Cafe",2.47487373415292
"South Indian Hut",1.83007285829463
"Sri Balaji",2.02072594216369
"Standard Sweets",2.54558441227157
"Street Foods by Punjab Grill",1.70098010962308
"Super Cake Shop",1.37719521734091
"Super Snacks",2.1920310216783
"Syall Kotian Da Dhaba",2.12132034355964
"Tandoori Junction",1.69705627484771
"Tandoori Tadka",2.33345237791561
"Taste of India",2.9698484809835
"Tea Trails",2.61629509039023
"The Artful Baker",2.82842712474619
"The Beer Cafe",1.48649475837174
"The Belgian Fries Company",2.61629509039023
"The Cake Shop",2.33345237791561
"The Chaiwalas",1.67431578064991
"The China Town",2.40416305603426
"The Night Owl",1.97989898732233
"The Pirates Of China Town",2.26274169979695
"Tibb's Frankie",1.26472281924689
"Tpot",1.6630436812406
"Truffles",1.06066017177982
"Twenty Four Seven",1.50641901395795
"U Like",2.12132034355964
"VadaPav 'n' Frankie",2.12132034355964
"Vaishno Rasoi",1.83847763108502
"Wah G Wah",1.53079500042734
"Wild Chef House",2.1920310216783
"Wrapss",1.34412301024373
"Yo! Dimsum",2.12132034355964
"Zaika Kathi Rolls",2.12132034355964
